Animal Name,Class,Order,Family,Is_Endangered,Length(cm),Lifespan(years),Weight(kg),Diet,Asia,Europe,Africa,South-America,North-America,Central-America,Antarctica,Oceania,Ocean,Eurasia
Ant,11,Hymenoptera,Formicidae,0.0,1350.0,19.474841669993218,1601.274827419837,4,1,1,1,1,1,1,0,1,1,1
Antarctic scale worm,14,Phyllodocida,Polynoidae,0.0,2000.0,19.474841669993218,1601.274827419837,0,0,0,0,0,0,0,0,0,1,0
Anteater,13,Xenarthra,Myrmecophagidae,0.0,150.0,14.5,29.0,4,0,0,0,1,0,1,0,0,0,0
Antelope,13,Artiodactyla,Bovidae,0.0,1114.242495994122,17.5,700.0,2,1,0,1,0,1,0,0,0,0,1
Anteosaurus,16,Therapsida,Anteosauridae,1.0,533.4,19.474841669993218,545.4545454545454,0,0,0,1,0,0,0,0,0,0,0
Apennine Wolf,13,Carnivora,Canidea,1.0,128.27,10.0,29.937132022752223,0,0,1,0,0,0,0,0,0,0,0
Arabian Cobra,16,Squamata,Elapidae,0.0,243.84,25.0,1601.274827419837,0,1,0,0,0,0,0,0,0,0,0
Arabian Wolf,13,Carnivora,Canidae,1.0,1114.242495994122,9.0,1601.274827419837,4,1,0,0,0,0,0,0,0,0,0
Archaeoindris,13,Primates,Palaeopropithecidae,1.0,1114.242495994122,19.474841669993218,255.0,2,0,0,1,0,0,0,0,0,0,0
Archaeotherium,13,Artiodactyla,Entelodontidae,1.0,16.51,19.474841669993218,68.4090909090909,2,0,0,0,0,1,0,0,0,0,0
Archerfish,0,Perciformes,Toxotidae,0.0,27.94,3.0,1.587575183024739,3,1,0,0,0,0,0,0,1,1,0
Arctic Char,0,Salmoniformes,Salmonidae,0.0,20.5,20.0,6.136363636363636,0,0,1,0,0,1,0,0,0,1,1
Arctic Fox,13,Carnivora,Canidae,0.0,9000.0,8.5,5.4,0,0,1,0,0,1,0,0,0,0,1
Arctic Hare,13,Lagomorpha,Leporidae,0.0,5750.0,5.5,4.5,2,0,0,0,0,1,0,0,0,0,0
Arctic Wolf,13,Carnivora,Canidae,0.0,7550.0,8.5,32.5,0,0,0,0,0,1,0,0,0,0,0
Arctotherium,13,Carnivora,Ursidae,1.0,1114.242495994122,19.474841669993218,1601.274827419837,4,0,0,0,1,0,0,0,0,0,0
Argentavis Magnificens,4,Cathartiformes,Teratornithidae,1.0,1114.242495994122,19.474841669993218,1601.274827419837,0,0,0,0,1,0,0,0,0,0,0
Arizona Coral Snake,16,Squamata,Elapidae,0.0,46.99,19.474841669993218,1601.274827419837,0,0,0,0,0,1,0,0,0,0,0
Armadillo,13,Cingulata,Dasypodidae,1.0,5550.0,8.0,17.0,4,0,0,0,1,1,1,0,0,0,0
Armadillo Lizard,16,Squamata,Cordylidae,0.0,9.525,25.0,0.1058201058201058,0,0,0,1,0,0,0,0,0,0,0
Armored Catfish,0,Siluriformes,Loricariidae,0.0,17.78,6.5,1.3636363636363635,2,0,0,0,1,1,0,0,0,0,0
Armyworm,11,Lepidoptera,Noctuidae,0.0,1.98501,0.1794520547945205,103.0,2,1,1,1,1,1,1,0,0,0,0
Arsinoitherium,13,Embrithopoda,Arsinoitheriidae,1.0,725.0,19.474841669993218,2505.0,2,1,0,1,0,0,0,0,0,0,0
Arthropleura,9,Arthropleurida,Arthropleuridae,1.0,144.78,19.474841669993218,49.99999999999999,2,0,1,0,0,1,0,0,0,0,0
Aruba Rattlesnake,16,Squamata,Viperidae,1.0,76.2,19.474841669993218,1601.274827419837,0,0,0,0,1,0,0,0,0,0,0
Asian Arowana,0,Osteoglossiformes,Osteoglossidae,1.0,200.0,60.0,10.9,0,1,0,0,0,0,0,0,0,0,0
Asian Carp,0,Cypriniformes,Cyprinidae,1.0,1114.242495994122,19.474841669993218,1601.274827419837,4,0,0,0,0,1,0,0,0,0,0
Asian Elephant,13,Proboscidea,Elephantidae,1.0,1114.242495994122,62.5,1.5,2,1,0,0,0,0,0,0,0,0,0
Asian Giant Hornet,11,Hymenoptera,Vespidae,0.0,410.0,0.3333333333333333,1601.274827419837,0,1,0,0,0,0,0,0,0,0,0
Asian Palm Civet,13,Carnivora,Viverridae,1.0,1114.242495994122,17.5,2.95,0,1,0,0,0,0,0,0,0,0,0
Asian Vine Snake,16,Squmata,Colubridae,0.0,114.3,8.5,1601.274827419837,0,1,0,0,0,0,0,0,0,0,0
Asian Water Monitor,16,Squamata,Varanidae,0.0,198.12,18.0,17.91691992270777,0,1,0,0,0,0,0,0,0,0,0
Asiatic Black Bear,13,Carnivora,Ursidae,1.0,1114.242495994122,20.0,145.0,4,1,0,0,0,0,0,0,0,0,1
Asp,16,Squamata,Viperidae,0.0,76.2,17.5,1601.274827419837,4,0,1,0,0,0,0,0,0,0,0
Assassin Bug,11,Hemiptera,Reduviidae,0.0,1114.242495994122,19.474841669993218,5.5e-06,0,1,1,1,1,1,1,1,1,1,1
Atlantic Salmon,0,Salmoniformes,Salmonidae,0.0,1114.242495994122,19.474841669993218,4.513249448884615,4,0,0,0,0,0,0,0,0,1,0
Atlantic Sturgeon,0,Acipenseriformes,Acipenseridae,1.0,289.56,32.5,249.47610018960185,4,0,0,0,0,1,0,0,0,0,0
Atlas Beetle,11,Coleoptera,Scarabaeidae,0.0,5250.0,1.0,1601.274827419837,2,1,0,0,0,0,0,0,0,0,0
Aurochs,13,Artiodactyla,Bovidae,1.0,1114.242495994122,20.0,180.5,4,1,1,0,0,1,0,0,0,0,0
Australian Flathead Perch,0,Perciformes,Serranidae,0.0,1114.242495994122,19.474841669993218,1601.274827419837,4,0,0,0,0,0,0,0,1,1,0
Avocet,4,Charadriiformes,Recurvirostridae,0.0,4350.0,12.5,9.523809523809524,0,1,1,0,1,1,0,0,1,1,1
Axanthic Ball Python,16,Squamata,Pythonidae,0.0,121.92,25.0,1601.274827419837,0,0,0,1,0,0,0,0,0,0,0
Axolotl,2,Caudata,Ambystomatidae,1.0,3000.0,15.0,4.585537918871252,0,0,0,0,0,1,1,0,0,0,0
Aye-aye,13,Primates,Daubentoniidae,1.0,3500.0,16.5,2.35,4,0,0,1,0,0,0,0,0,0,0
Babirusa,13,Artiodactyla,Suidae,1.0,99.06,10.0,95.45454545454544,4,1,0,0,0,0,0,0,0,0,0
Baboon,13,Primates,Cercopithecidae,0.0,1114.242495994122,27.5,29.5,4,1,0,1,0,0,0,0,0,0,0
Bactrian Camel,13,Artiodactyla,Camelidae,1.0,1114.242495994122,42.5,708.0,2,1,0,0,0,0,0,0,0,0,0
Badger,13,Carnivora,Mustelidae,0.0,2700.0,9.0,9.0,4,0,1,0,0,0,0,0,0,0,0
Baiji,13,Cetartiodactyla,Lipotidae,1.0,243.84,24.0,167.27272727272725,0,1,1,1,1,1,1,1,1,1,1
Baird’s Rat Snake,16,Squamata,Colubridae,0.0,1114.242495994122,19.474841669993218,1601.274827419837,0,0,0,0,0,1,1,0,0,0,0
Bald Eagle,4,Accipitriformes,Accipitridae,0.0,1114.242495994122,17.5,4.681818181818182,0,0,0,0,0,1,0,0,0,0,0
Baleen Whale,13,Artiodactyla,Eschrichtiidae,1.0,1219.2,100.0,1601.274827419837,0,0,0,0,0,0,0,0,0,1,0
Balkan Lynx,13,Carnivora,Felidae,1.0,105.029,21.0,21.45494461630576,0,0,1,0,0,0,0,0,0,0,0
Ball Python,16,Squamata,Pythonidae,0.0,182.88,30.0,1601.274827419837,0,0,0,1,0,0,0,0,0,0,0
Banana Ball Python,16,Squamata,Pythonidae,0.0,250.0,25.0,1601.274827419837,0,0,0,1,0,0,0,0,0,0,0
Banana Cinnamon Ball Python,16,Squamata,Pythonidae,0.0,152.4,25.0,2.948353911331658,4,0,0,1,0,0,0,0,0,0,0
Banana Eel,0,Anguilliformes,Muraenidae,0.0,60.96,13.5,1601.274827419837,0,0,0,0,0,0,0,0,0,1,0
Banana Spider,3,Araneae,Araneidae,0.0,175.0,19.474841669993218,0.0059533934342575,0,1,0,1,0,1,0,0,1,1,0
Banded Palm Civet,13,Carnivora,Viverridae,1.0,1114.242495994122,17.5,2.95,0,1,0,0,0,0,0,0,0,0,0
Banded Water Snake,16,Squamata,Colubridae,0.0,1114.242495994122,19.474841669993218,1601.274827419837,4,0,0,0,0,1,0,0,0,0,0
Bandicoot,13,Peramelemorphia,Peramelidae,1.0,5450.0,5.0,0.9,4,0,0,0,0,0,0,0,1,1,0
Barb,0,Cypriniformes,Cyprinidae,0.0,19.05,5.0,1601.274827419837,4,1,0,1,1,0,0,0,0,0,1
Barinasuchus,16,Crocodylia,Sebecidae,1.0,2600.0,19.474841669993218,1655.614119440085,0,0,0,0,1,0,0,0,0,0,0
Barn Owl,4,Strigiformes,Tytonidae,0.0,1114.242495994122,7.5,14.991181657848324,0,1,1,1,1,1,1,0,1,1,1
Barn Swallow,4,Passeriformes,Hirundinidae,0.0,1700.0,19.474841669993218,8.409090909090908,0,1,1,1,1,1,1,0,1,1,1
Barosaurus,16,Saurischia,Diplodocidae,1.0,2499.36,25.0,0.02,2,0,0,0,0,1,0,0,0,0,0
Barracuda,0,Perciformes,Sphyraenidae,0.0,125.0,12.5,1601.274827419837,0,0,0,0,0,0,0,0,0,1,0
Barramundi Fish,0,Perciformes,Latidae,0.0,320.0,19.474841669993218,54.54545454545454,0,0,0,0,0,0,0,0,0,1,0
Barred Owl,4,Strigiformes,Strigidae,0.0,1945.0,18.0,0.6350300732098956,0,0,0,0,0,1,1,0,0,0,0
Barylambda,13,Cimolesta,Barylambdidae,1.0,243.84,19.474841669993218,649.9986392212718,2,1,1,1,1,1,1,1,1,1,1
Basilisk Lizard,16,Squamata,Corytophanidae,0.0,76.2,7.0,0.2523104836423428,0,0,0,0,1,0,1,0,0,0,0
Basilosaurus,13,Artiodactyla,Basilosauridae,1.0,1114.242495994122,19.474841669993218,1601.274827419837,4,1,0,1,0,1,0,0,0,1,0
Basking Shark,8,Lamniformes,Cetorhinidae,0.0,900.0,60.0,1601.274827419837,0,0,0,0,0,0,0,0,0,1,0
Bat,13,Chiroptera,Microchiroptera,0.0,9150.0,20.0,0.0529100529100529,4,1,1,1,1,1,1,0,1,1,1
Bat-Eared Fox,13,Carnivora,Canidae,0.0,1114.242495994122,11.5,1601.274827419837,3,0,0,1,0,0,0,0,0,0,0
Baya,4,Passeriformes,Ploceidae,0.0,1114.242495994122,12.5,0.5114638447971781,4,1,0,0,0,0,0,0,0,0,0
Bea-Tzu,13,Carnivora,Canidae,0.0,35.56,12.5,8.618265279277155,4,0,0,0,0,1,0,0,0,0,0
Beabull,13,Carnivora,Canidae,0.0,16.0,11.0,15.87575183024739,4,0,0,0,0,1,0,0,0,0,0
Bear,13,Carnivora,Ursidae,1.0,1114.242495994122,25.0,238.5,4,1,1,0,1,1,1,0,0,0,1
Bearded Dragon,16,Squamata,Agamidae,0.0,5550.0,10.5,13.403880070546736,4,0,0,0,0,0,0,0,1,1,0
Bearded Vulture,4,Accipitriformes,Accipitridae,0.0,1114.242495994122,19.474841669993218,1601.274827419837,0,1,1,1,0,0,0,0,0,0,0
Beauty rat snake,16,Squamata,Colubridae,1.0,152.4,20.0,1601.274827419837,0,1,0,0,0,0,0,0,0,0,1
Beaver,13,Rodentia,Castoridae,0.0,10000.0,11.0,21.5,2,0,1,0,0,1,0,0,0,1,1
Bed Bugs,11,Hemiptera,Cimicidae,0.0,600.0,0.9166666666666666,1601.274827419837,4,1,1,1,1,1,1,1,1,1,1
Bee-Eater,4,Coraciiformes,Meropidae,0.0,24.13,4.5,0.049611611952146,3,1,1,1,0,0,0,0,1,1,0
Beetle,11,Endopterygota,Coleoptera,0.0,1114.242495994122,19.474841669993218,1601.274827419837,4,1,1,1,1,1,1,0,1,1,1
Belted Kingfisher,4,Coraciiformes,Alcedinidae,0.0,1114.242495994122,14.0,1.9400352733686064,4,0,0,0,0,1,1,0,0,0,0
Beluga Sturgeon,0,Acipenseriformes,Acipenseridae,1.0,609.6,50.0,114.0786167230634,0,0,0,0,0,0,0,0,0,1,0
Beluga Sturgeon,0,Acipenseriformes,Acipenseridae,1.0,609.6,50.0,114.0786167230634,0,0,0,0,0,0,0,0,0,1,0
Bengal Tiger,13,Carnivora,Felidae,1.0,284.99999999999994,21.5,220.0,0,1,0,0,0,0,0,0,0,0,0
Betta Fish (Siamese Fighting Fish),0,Perciformes,Osphronemidae,0.0,700.0,4.0,1601.274827419837,0,1,0,0,0,0,0,0,0,0,0
Bhutan Takin,13,Artiodactyla,Bovidae,1.0,176.53,18.0,299.37132022752223,2,1,0,0,0,0,0,0,0,0,0
