Animal Name,Class,Order,Family,Is_Endangered,Length(cm),Lifespan(years),Weight(kg),Diet,Asia,Europe,Africa,South-America,North-America,Central-America,Antarctica,Oceania,Ocean,Eurasia
Angora Ferret,Mammalia,Carnivora,Mustelidae,0.0,49.53,7.0,1.3636363636363635,Carnivore,0,1,0,0,1,0,0,0,0,0
Angora Goat,Mammalia,Artiodactyla,Bovidae,0.0,8850.0,10.0,91.0,Herbivore,1,1,1,1,1,0,0,1,1,1
Anhinga,Aves,Suliformes,Anhingidae,,,,,Carnivore,0,0,0,1,1,1,0,0,0,0
Anna’s Hummingbird,Aves,Apodiformes,Trochilidae,0.0,8.89,8.0,4.5,Omnivore,0,0,0,0,1,0,0,0,0,0
Anole Lizard,Reptilia,Squamata,Dactyloidae,0.0,30.48,4.5,,Omnivore,0,0,0,0,1,1,0,0,0,0
Anomalocaris,,Radiodonta,Anomalocarididae,1.0,,,,Carnivore,1,0,0,0,1,0,0,1,1,0
Ant,Insecta,Hymenoptera,Formicidae,0.0,1350.0,,,Omnivore,1,1,1,1,1,1,0,1,1,1
Antarctic scale worm,Polychaeta,Phyllodocida,Polynoidae,0.0,2000.0,,,Carnivore,0,0,0,0,0,0,0,0,1,0
Anteater,Mammalia,Xenarthra,Myrmecophagidae,0.0,150.0,14.5,29.0,Omnivore,0,0,0,1,0,1,0,0,0,0
Antelope,Mammalia,Artiodactyla,Bovidae,0.0,,17.5,700.0,Herbivore,1,0,1,0,1,0,0,0,0,1
Anteosaurus,Reptilia,Therapsida,Anteosauridae,1.0,533.4,,545.4545454545454,Carnivore,0,0,1,0,0,0,0,0,0,0
Ape,Mammalia,Primates,Hominidae,,,50.0,,Herbivore,1,0,1,0,0,0,0,0,0,0
Apennine Wolf,Mammalia,Carnivora,Canidea,1.0,128.27,10.0,29.937132022752223,Carnivore,0,1,0,0,0,0,0,0,0,0
Appenzeller Dog,Mammalia,Carnivora,Canidae,,,13.0,,Omnivore,0,1,0,0,0,0,0,0,0,0
Apple Head Chihuahua,Mammalia,Carnivora,Canidae,,,15.0,2.727272727272727,Omnivore,0,0,0,0,1,1,0,0,0,0
Apple Moth,Insecta,Lepidoptera,Tortricidae,,1000.0,0.14383561643835616,0.54673721340388,Omnivore,0,1,0,0,1,0,0,1,1,0
Arabian Cobra,Reptilia,Squamata,Elapidae,0.0,243.84,25.0,,Carnivore,1,0,0,0,0,0,0,0,0,0
Arabian Wolf,Mammalia,Carnivora,Canidae,1.0,,9.0,,Omnivore,1,0,0,0,0,0,0,0,0,0
Arafura File Snake,Reptilia,Squamata,Acrochordidae,,,10.0,,Omnivore,1,0,0,0,0,0,0,1,1,0
Arambourgiania,,,,1.0,,,,Carnivore,0,0,0,0,1,0,0,0,0,0
Arapaima,Actinopterygii,Osteoglossiformes,Arapaimidae,,1250.0,20.0,210.0,Omnivore,0,0,0,1,0,0,0,0,0,0
